Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,Benchmark Role,Judge Model,Judge Independent,Model Reference Mutable,Language Comparison Status,Paired Language IDs,Equivalent Source Pairs,normalized_exact_match,token_f1,keyword_coverage,question_keyword_coverage,question_answer_keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,context_precision,context_recall,citation_precision,citation_recall,citation_f1,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,top1_accuracy,ndcg_at_k,retrieval_debug_coverage,average_retrieval_time_ms,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,pipeline_failure_rate,retrieval_or_context_failure_rate,answer_postprocessing_failure_rate,generation_output_failure_rate,generation_failure_rate,average_response_time_ms,median_response_time_ms,p95_response_time_ms,average_estimated_sequential_e2e_ms,p95_estimated_sequential_e2e_ms,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score,deterministic_score,score_status,missing_score_metrics
ollama,qwen3-custom:latest,ALL,100,90,10,development,,False,True,descriptive_only_unpaired_targets,50,3,0.0333,0.5558,0.7435,0.1417,0.7639,,,0.9833,1.0,0.9444,0.9444,0.9444,0.9444,0.2022,1.0,1.0,0.9889,0.9778,0.9918,0.9,10899.6296,0.0556,1.0,1.0,1.0,,0.05,0.0,0.05,0.0,0.0,6661.9248,5151.15,17299.46,17561.5544,28119.08,64.97,94.44,99.36,98.15,,85.66,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,EN,50,45,5,development,,False,True,descriptive_only_unpaired_targets,50,3,0.0444,0.578,0.8815,0.0889,0.8815,,,0.9778,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.9889,0.9778,0.9918,0.9,8918.0018,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,6528.7168,4259.94,17804.07,15446.7186,26098.95,72.97,100.0,99.36,100.0,,90.41,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,ID,50,45,5,development,,False,True,descriptive_only_unpaired_targets,50,3,0.0222,0.5336,0.6056,0.1944,0.6463,,,0.9889,1.0,0.8889,0.8889,0.8889,0.8889,0.2044,1.0,1.0,0.9889,0.9778,0.9918,0.9,12881.2574,0.1111,1.0,1.0,1.0,,0.1,0.0,0.1,0.0,0.0,6795.1328,5735.44,16584.96,19676.3902,28956.96,56.96,88.89,99.36,96.3,,80.92,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,MACRO,100,90,10,development,,False,True,descriptive_only_unpaired_targets,50,3,0.0333,0.5558,0.7435499999999999,0.14165,0.7639,,,0.98335,1.0,0.94445,0.94445,0.94445,0.94445,0.2022,1.0,1.0,0.9889,0.9778,0.9918,0.9,10899.6296,0.05555,1.0,1.0,1.0,,0.05,0.0,0.05,0.0,0.0,6661.924800000001,4997.69,17194.515,17561.5544,27527.955,64.97,94.45,99.36,98.15,,85.67,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
