Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,Language Comparison Status,Paired Language IDs,Equivalent Source Pairs,normalized_exact_match,token_f1,keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,context_precision,context_recall,citation_precision,citation_recall,citation_f1,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,top1_accuracy,ndcg_at_k,retrieval_debug_coverage,average_retrieval_time_ms,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,pipeline_failure_rate,retrieval_or_context_failure_rate,generation_failure_rate,average_response_time_ms,p95_response_time_ms,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score,deterministic_score,score_status,missing_score_metrics
ollama,qwen3-custom:latest,ALL,100,90,10,descriptive_only_unpaired_targets,50,3,0.0333,0.5621,0.7963,,,0.9778,1.0,0.8944,0.9,0.8963,0.8963,0.2,1.0,1.0,0.9833,0.9667,0.9877,0.9,8443.4917,0.0778,1.0,1.0,1.0,,0.07,0.0,0.0,4774.297,9707.06,67.92,89.63,99.03,97.41,,85.08,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,EN,50,45,5,descriptive_only_unpaired_targets,50,3,0.0444,0.5806,0.9259,,,0.9778,1.0,0.9778,0.9778,0.9778,0.9778,0.2,1.0,1.0,0.9889,0.9778,0.9918,0.9,9416.7986,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,4609.3382,9260.33,75.33,97.78,99.36,100.0,,90.57,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,ID,50,45,5,descriptive_only_unpaired_targets,50,3,0.0222,0.5436,0.6667,,,0.9778,1.0,0.8111,0.8222,0.8148,0.8148,0.2,1.0,1.0,0.9778,0.9556,0.9836,0.9,7470.1848,0.1556,1.0,1.0,1.0,,0.14,0.0,0.0,4939.2558,9727.08,60.51,81.48,98.71,94.81,,79.59,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,MACRO,100,90,10,descriptive_only_unpaired_targets,50,3,0.0333,0.5621,0.7963,,,0.9778,1.0,0.89445,0.9,0.8963,0.8963,0.2,1.0,1.0,0.98335,0.9667,0.9877,0.9,8443.4917,0.0778,1.0,1.0,1.0,,0.07,0.0,0.0,4774.2970000000005,9493.705,67.92,89.63,99.03,97.41,,85.08,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
