Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,normalized_exact_match,token_f1,keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,context_precision,context_recall,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,retrieval_debug_coverage,average_retrieval_time_ms,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,generation_failure_rate,average_response_time_ms,p95_response_time_ms,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score
ollama,qwen3-custom:latest,ALL,100,90,10,0.0333,0.4082,0.637,4.9688,4.8281,0.6167,0.6333,0.6222,0.18,0.9,0.9,0.8537,0.82,4996.0761,0.3444,1.0,1.0,1.0,0.0156,0.3,7440.7992,12289.81,67.03,86.68,88.46,78.52,78.93
ollama,qwen3-custom:latest,EN,50,45,5,0.0444,0.5268,0.837,4.9524,4.8333,0.9,0.9111,0.8889,0.2,1.0,1.0,0.9889,0.92,4599.1546,0.0889,1.0,1.0,1.0,0.0238,0.06,7039.3028,9252.81,77.68,95.19,99.63,95.04,89.93
ollama,qwen3-custom:latest,ID,50,45,5,0.0222,0.2896,0.437,5.0,4.8182,0.3333,0.3556,0.3556,0.16,0.8,0.8,0.7185,0.72,5392.9976,0.6,1.0,1.0,1.0,0.0,0.54,7842.2956,12959.81,56.34,78.52,77.28,62.0,68.03
ollama,qwen3-custom:latest,MACRO,100,90,10,0.0333,0.4082,0.637,4.9762,4.82575,0.61665,0.6333500000000001,0.62225,0.18,0.9,0.9,0.8537,0.8200000000000001,4996.0761,0.34445,1.0,1.0,1.0,0.0119,0.30000000000000004,7440.7992,11106.31,67.01,86.85,88.46,78.52,78.98
