Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,Benchmark Role,Evaluation Status,Final Eligible,Evaluation Blockers,Evaluation Warnings,Judge Model,Judge Independent,Model Reference Mutable,Language Comparison Status,Paired Language IDs,Equivalent Source Pairs,normalized_exact_match,token_f1,keyword_coverage,question_keyword_coverage,question_answer_keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,judge_eligible_questions,judge_attempted_questions,judge_successful_questions,judge_coverage,context_precision,context_recall,citation_precision,citation_recall,citation_f1,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,top1_accuracy,ndcg_at_k,retrieval_debug_coverage,average_retrieval_time_ms,retrieval_latency_coverage,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,pipeline_failure_rate,retrieval_or_context_failure_rate,answer_postprocessing_failure_rate,generation_output_failure_rate,generation_failure_rate,average_response_time_ms,median_response_time_ms,p95_response_time_ms,client_latency_coverage,average_estimated_sequential_e2e_ms,p95_estimated_sequential_e2e_ms,estimated_e2e_latency_coverage,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score,deterministic_score,score_status,missing_score_metrics,Report Status,Report Final Eligible,Benchmark Overlap Count,Artifact Integrity
ollama,qwen3-custom:eval-20260803,ALL,100,90,10,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0333,0.5737,0.7413,0.1417,0.7524,,,98,0,0,0.0,0.9833,1.0,0.9778,0.9778,0.9778,0.9778,0.2022,1.0,1.0,0.9944,0.9889,0.9959,1.0,4673.7072,1.0,0.0222,1.0,1.0,1.0,,0.02,0.0,0.02,0.0,0.0,4380.9728,4457.25,7474.78,1.0,9054.68,12379.71,1.0,65.75,97.78,99.68,99.26,,87.17,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,55,verified
ollama,qwen3-custom:eval-20260803,EN,50,45,5,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0444,0.5708,0.8481,0.0889,0.8556,,,49,0,0,0.0,0.9778,1.0,0.9778,0.9778,0.9778,0.9778,0.2,1.0,1.0,0.9889,0.9778,0.9918,1.0,3885.9294,1.0,0.0222,1.0,1.0,1.0,,0.02,0.0,0.02,0.0,0.0,3837.2536,3762.09,6441.0,1.0,7723.183,10957.65,1.0,70.94,97.78,99.36,99.26,,88.93,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,55,verified
ollama,qwen3-custom:eval-20260803,ID,50,45,5,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0222,0.5766,0.6344,0.1944,0.6493,,,49,0,0,0.0,0.9889,1.0,0.9778,0.9778,0.9778,0.9778,0.2044,1.0,1.0,1.0,1.0,1.0,1.0,5461.485,1.0,0.0222,1.0,1.0,1.0,,0.02,0.0,0.02,0.0,0.0,4924.692,5015.15,8171.0,1.0,10386.177,13469.63,1.0,60.55,97.78,100.0,99.26,,85.42,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,55,verified
ollama,qwen3-custom:eval-20260803,MACRO,100,90,10,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0333,0.5737,0.74125,0.14165,0.7524500000000001,,,98.0,0.0,0.0,0.0,0.98335,1.0,0.9778,0.9778,0.9778,0.9778,0.2022,1.0,1.0,0.9944500000000001,0.9889,0.9959,1.0,4673.7072,1.0,0.0222,1.0,1.0,1.0,,0.02,0.0,0.02,0.0,0.0,4380.9728,4388.62,7306.0,1.0,9054.68,12213.64,1.0,65.75,97.78,99.68,99.26,,87.17,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,55,verified
