Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,Benchmark Role,Judge Model,Judge Independent,Model Reference Mutable,Language Comparison Status,Paired Language IDs,Equivalent Source Pairs,normalized_exact_match,token_f1,keyword_coverage,question_keyword_coverage,question_answer_keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,context_precision,context_recall,citation_precision,citation_recall,citation_f1,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,top1_accuracy,ndcg_at_k,retrieval_debug_coverage,average_retrieval_time_ms,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,pipeline_failure_rate,retrieval_or_context_failure_rate,answer_postprocessing_failure_rate,generation_output_failure_rate,generation_failure_rate,average_response_time_ms,median_response_time_ms,p95_response_time_ms,average_estimated_sequential_e2e_ms,p95_estimated_sequential_e2e_ms,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score,deterministic_score,score_status,missing_score_metrics
ollama,qwen3-custom:latest,ALL,100,90,10,development,,False,True,descriptive_only_unpaired_targets,50,3,0.0333,0.591,0.7806,0.1417,0.7843,,,0.9833,1.0,1.0,1.0,1.0,1.0,0.2022,1.0,1.0,0.9889,0.9778,0.9918,0.9,11077.5427,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,7113.9012,5282.18,17421.72,18191.4439,28637.74,68.58,100.0,99.36,100.0,,88.87,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,EN,50,45,5,development,,False,True,descriptive_only_unpaired_targets,50,3,0.0444,0.578,0.8815,0.0889,0.8815,,,0.9778,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.9889,0.9778,0.9918,0.9,9134.9912,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,7543.9212,5236.1,18023.52,16678.9124,27254.22,72.97,100.0,99.36,100.0,,90.41,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,ID,50,45,5,development,,False,True,descriptive_only_unpaired_targets,50,3,0.0222,0.6041,0.6796,0.1944,0.687,,,0.9889,1.0,1.0,1.0,1.0,1.0,0.2044,1.0,1.0,0.9889,0.9778,0.9918,0.9,13020.0942,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,6683.8812,5355.96,15812.12,19703.9754,30292.91,64.19,100.0,99.36,100.0,,87.34,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,MACRO,100,90,10,development,,False,True,descriptive_only_unpaired_targets,50,3,0.0333,0.59105,0.78055,0.14165,0.78425,,,0.98335,1.0,1.0,1.0,1.0,1.0,0.2022,1.0,1.0,0.9889,0.9778,0.9918,0.9,11077.5427,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,7113.9012,5296.030000000001,16917.82,18191.4439,28773.565000000002,68.58,100.0,99.36,100.0,,88.87,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
