Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,Benchmark Role,Evaluation Status,Final Eligible,Evaluation Blockers,Evaluation Warnings,Judge Model,Judge Independent,Model Reference Mutable,Language Comparison Status,Paired Language IDs,Equivalent Source Pairs,normalized_exact_match,token_f1,keyword_coverage,question_keyword_coverage,question_answer_keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,judge_eligible_questions,judge_attempted_questions,judge_successful_questions,judge_coverage,context_precision,context_recall,citation_precision,citation_recall,citation_f1,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,top1_accuracy,ndcg_at_k,retrieval_debug_coverage,average_retrieval_time_ms,retrieval_latency_coverage,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,pipeline_failure_rate,retrieval_or_context_failure_rate,answer_postprocessing_failure_rate,generation_output_failure_rate,generation_failure_rate,average_response_time_ms,median_response_time_ms,p95_response_time_ms,client_latency_coverage,average_estimated_sequential_e2e_ms,p95_estimated_sequential_e2e_ms,estimated_e2e_latency_coverage,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score,deterministic_score,score_status,missing_score_metrics,Report Status,Report Final Eligible,Benchmark Overlap Count,Artifact Integrity
groq,llama-3.3-70b-versatile,ALL,100,90,10,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Descriptive Indonesian/English retrieval latency ratio is 1.51x (alert threshold 1.50x). | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0,0.257,0.8278,0.1417,0.8278,,,100,0,0,0.0,0.9833,1.0,0.9833,1.0,0.9889,0.9889,0.2022,1.0,1.0,0.9944,0.9889,0.9959,1.0,6510.8061,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,2633.303,2678.86,4025.07,1.0,9144.1091,11706.28,1.0,54.24,98.89,99.68,100.0,,83.59,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
groq,llama-3.3-70b-versatile,EN,50,45,5,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Descriptive Indonesian/English retrieval latency ratio is 1.51x (alert threshold 1.50x). | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0,0.2329,0.9333,0.0889,0.9333,,,50,0,0,0.0,0.9778,1.0,0.9778,1.0,0.9852,0.9852,0.2,1.0,1.0,0.9889,0.9778,0.9918,1.0,5190.2162,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,2616.7394,2693.74,4033.01,1.0,7806.9556,10077.81,1.0,58.31,98.52,99.36,100.0,,84.84,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
groq,llama-3.3-70b-versatile,ID,50,45,5,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Descriptive Indonesian/English retrieval latency ratio is 1.51x (alert threshold 1.50x). | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0,0.2811,0.7222,0.1944,0.7222,,,50,0,0,0.0,0.9889,1.0,0.9889,1.0,0.9926,0.9926,0.2044,1.0,1.0,1.0,1.0,1.0,1.0,7831.396,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,2649.8666,2654.57,3856.51,1.0,10481.2626,12757.61,1.0,50.16,99.26,100.0,100.0,,82.34,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
groq,llama-3.3-70b-versatile,MACRO,100,90,10,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Descriptive Indonesian/English retrieval latency ratio is 1.51x (alert threshold 1.50x). | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0,0.257,0.82775,0.14165,0.82775,,,100.0,0.0,0.0,0.0,0.98335,1.0,0.98335,1.0,0.9889,0.9889,0.2022,1.0,1.0,0.9944500000000001,0.9889,0.9959,1.0,6510.8061,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,2633.303,2674.1549999999997,3944.76,1.0,9144.1091,11417.71,1.0,54.24,98.89,99.68,100.0,,83.59,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
ollama,qwen3-custom:eval-20260803,ALL,100,90,10,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Descriptive Indonesian/English retrieval latency ratio is 1.51x (alert threshold 1.50x). | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0333,0.591,0.7806,0.1417,0.7843,,,100,0,0,0.0,0.9833,1.0,1.0,1.0,1.0,1.0,0.2022,1.0,1.0,0.9944,0.9889,0.9959,1.0,6510.8061,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,4092.4352,4157.03,6786.53,1.0,10603.2413,15476.54,1.0,68.58,100.0,99.68,100.0,,88.94,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
ollama,qwen3-custom:eval-20260803,EN,50,45,5,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Descriptive Indonesian/English retrieval latency ratio is 1.51x (alert threshold 1.50x). | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0444,0.578,0.8815,0.0889,0.8815,,,50,0,0,0.0,0.9778,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.9889,0.9778,0.9918,1.0,5190.2162,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,3535.7606,3328.88,5668.12,1.0,8725.9768,11391.33,1.0,72.97,100.0,99.36,100.0,,90.41,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
ollama,qwen3-custom:eval-20260803,ID,50,45,5,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Descriptive Indonesian/English retrieval latency ratio is 1.51x (alert threshold 1.50x). | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0222,0.6041,0.6796,0.1944,0.687,,,50,0,0,0.0,0.9889,1.0,1.0,1.0,1.0,1.0,0.2044,1.0,1.0,1.0,1.0,1.0,1.0,7831.396,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,4649.1098,4817.59,7810.19,1.0,12480.5058,15906.67,1.0,64.19,100.0,100.0,100.0,,87.46,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
ollama,qwen3-custom:eval-20260803,MACRO,100,90,10,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Descriptive Indonesian/English retrieval latency ratio is 1.51x (alert threshold 1.50x). | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,False,descriptive_only_unpaired_targets,50,3,0.0333,0.59105,0.78055,0.14165,0.78425,,,100.0,0.0,0.0,0.0,0.98335,1.0,1.0,1.0,1.0,1.0,0.2022,1.0,1.0,0.9944500000000001,0.9889,0.9959,1.0,6510.8061,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,4092.4352,4073.235,6739.155,1.0,10603.241300000002,13649.0,1.0,68.58,100.0,99.68,100.0,,88.94,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
