Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,Benchmark Role,Evaluation Status,Final Eligible,Evaluation Blockers,Evaluation Warnings,Judge Model,Judge Independent,Model Reference Mutable,Language Comparison Status,Paired Language IDs,Equivalent Source Pairs,normalized_exact_match,token_f1,keyword_coverage,question_keyword_coverage,question_answer_keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,judge_eligible_questions,judge_attempted_questions,judge_successful_questions,judge_coverage,context_precision,context_recall,citation_precision,citation_recall,citation_f1,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,top1_accuracy,ndcg_at_k,retrieval_debug_coverage,average_retrieval_time_ms,retrieval_latency_coverage,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,pipeline_failure_rate,retrieval_or_context_failure_rate,answer_postprocessing_failure_rate,generation_output_failure_rate,generation_failure_rate,average_response_time_ms,median_response_time_ms,p95_response_time_ms,client_latency_coverage,average_estimated_sequential_e2e_ms,p95_estimated_sequential_e2e_ms,estimated_e2e_latency_coverage,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score,deterministic_score,score_status,missing_score_metrics,Report Status,Report Final Eligible,Benchmark Overlap Count,Artifact Integrity
ollama,qwen3-custom:latest,ALL,100,90,10,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final. | The evaluated model reference is mutable; pin a versioned tag or digest.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,True,descriptive_only_unpaired_targets,50,3,0.0333,0.591,0.7806,0.1417,0.7843,,,100,0,0,0.0,0.9833,1.0,1.0,1.0,1.0,1.0,0.2022,1.0,1.0,0.9889,0.9778,0.9918,1.0,7397.9277,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,4495.3706,4351.4,8391.79,1.0,11893.2983,22286.67,1.0,68.58,100.0,99.36,100.0,,88.87,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
ollama,qwen3-custom:latest,EN,50,45,5,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final. | The evaluated model reference is mutable; pin a versioned tag or digest.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,True,descriptive_only_unpaired_targets,50,3,0.0444,0.578,0.8815,0.0889,0.8815,,,50,0,0,0.0,0.9778,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,0.9889,0.9778,0.9918,1.0,4192.5724,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,3709.7818,3595.84,5699.54,1.0,7902.3542,10182.59,1.0,72.97,100.0,99.36,100.0,,90.41,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
ollama,qwen3-custom:latest,ID,50,45,5,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final. | The evaluated model reference is mutable; pin a versioned tag or digest.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,True,descriptive_only_unpaired_targets,50,3,0.0222,0.6041,0.6796,0.1944,0.687,,,50,0,0,0.0,0.9889,1.0,1.0,1.0,1.0,1.0,0.2044,1.0,1.0,0.9889,0.9778,0.9918,1.0,10603.283,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,5280.9594,5261.94,9314.11,1.0,15884.2424,22874.29,1.0,64.19,100.0,99.36,100.0,,87.34,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
ollama,qwen3-custom:latest,MACRO,100,90,10,development,DIAGNOSTIC_ONLY,False,"Benchmark is a development/regression set, not a blind holdout. | Independent LLM-judge coverage is incomplete; faithfulness, answer relevance, and hallucination metrics are not final. | The evaluated model reference is mutable; pin a versioned tag or digest.","English and Indonesian subsets have non-equivalent targets; their score gap is descriptive only. | Sequential E2E latency is retrieval time plus the generation API call, not one directly instrumented wall-clock request.",,False,True,descriptive_only_unpaired_targets,50,3,0.0333,0.59105,0.78055,0.14165,0.78425,,,100.0,0.0,0.0,0.0,0.98335,1.0,1.0,1.0,1.0,1.0,0.2022,1.0,1.0,0.9889,0.9778,0.9918,1.0,7397.9277,1.0,0.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,4495.3706,4428.889999999999,7506.825000000001,1.0,11893.298299999999,16528.440000000002,1.0,68.58,100.0,99.36,100.0,,88.87,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate, judge_coverage<1.0",DIAGNOSTIC_ONLY,False,54,verified
