Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,normalized_exact_match,token_f1,keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,context_precision,context_recall,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,retrieval_debug_coverage,average_retrieval_time_ms,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,generation_failure_rate,average_response_time_ms,p95_response_time_ms,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score
ollama,qwen3-custom:latest,ALL,100,90,10,0.0444,0.4516,0.7037,,,0.7056,0.7222,0.7,0.1756,0.8778,0.8778,0.8611,0.81,13600.7274,0.2778,1.0,1.0,1.0,,0.24,9085.9321,21460.39,57.77,70.0,87.22,82.74,71.07
ollama,qwen3-custom:latest,EN,50,45,5,0.0444,0.5302,0.8667,,,0.9,0.9111,0.8889,0.1867,0.9333,0.9333,0.9222,0.86,9750.0912,0.0889,1.0,1.0,1.0,,0.06,9118.542,20437.26,69.84,88.89,92.96,95.04,83.96
ollama,qwen3-custom:latest,ID,50,45,5,0.0444,0.373,0.5407,,,0.5111,0.5333,0.5111,0.1644,0.8222,0.8222,0.8,0.76,17451.3636,0.4667,1.0,1.0,1.0,,0.42,9053.3222,22733.04,45.68,51.11,81.48,70.44,58.19
ollama,qwen3-custom:latest,MACRO,100,90,10,0.0444,0.4516,0.7037,,,0.70555,0.7222,0.7,0.17554999999999998,0.87775,0.87775,0.8611,0.81,13600.7274,0.2778,1.0,1.0,1.0,,0.24,9085.9321,21585.15,57.77,70.0,87.22,82.74,71.07
