Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,Language Comparison Status,Paired Language IDs,Equivalent Source Pairs,normalized_exact_match,token_f1,keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,context_precision,context_recall,citation_precision,citation_recall,citation_f1,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,top1_accuracy,ndcg_at_k,retrieval_debug_coverage,average_retrieval_time_ms,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,pipeline_failure_rate,retrieval_or_context_failure_rate,generation_failure_rate,average_response_time_ms,p95_response_time_ms,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score,deterministic_score,score_status,missing_score_metrics
ollama,qwen3-custom:latest,ALL,100,90,10,descriptive_only_unpaired_targets,50,3,0.0444,0.5363,0.7889,,,0.9833,1.0,0.85,0.8556,0.8519,0.8519,0.2,1.0,1.0,0.9833,0.9667,0.9877,0.9,6326.8011,0.1222,1.0,1.0,1.0,,0.11,0.0,0.0,4811.4985,9639.6,66.26,85.19,99.03,95.93,,82.94,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,EN,50,45,5,descriptive_only_unpaired_targets,50,3,0.0444,0.5656,0.9148,,,0.9889,1.0,0.9556,0.9556,0.9556,0.9556,0.2,1.0,1.0,0.9889,0.9778,0.9918,0.9,5547.777,0.0222,1.0,1.0,1.0,,0.02,0.0,0.0,4637.2332,9299.68,74.02,95.56,99.36,99.26,,89.34,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,ID,50,45,5,descriptive_only_unpaired_targets,50,3,0.0444,0.507,0.663,,,0.9778,1.0,0.7444,0.7556,0.7481,0.7481,0.2,1.0,1.0,0.9778,0.9556,0.9836,0.9,7105.8252,0.2222,1.0,1.0,1.0,,0.2,0.0,0.0,4985.7638,9605.48,58.5,74.81,98.71,92.59,,76.55,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,MACRO,100,90,10,descriptive_only_unpaired_targets,50,3,0.0444,0.5363,0.7888999999999999,,,0.98335,1.0,0.85,0.8556,0.85185,0.85185,0.2,1.0,1.0,0.98335,0.9667,0.9877,0.9,6326.801100000001,0.1222,1.0,1.0,1.0,,0.11,0.0,0.0,4811.4985,9452.58,66.26,85.19,99.03,95.93,,82.94,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
