Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,Language Comparison Status,Paired Language IDs,Equivalent Source Pairs,normalized_exact_match,token_f1,keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,context_precision,context_recall,citation_precision,citation_recall,citation_f1,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,top1_accuracy,ndcg_at_k,retrieval_debug_coverage,average_retrieval_time_ms,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,pipeline_failure_rate,retrieval_or_context_failure_rate,generation_failure_rate,average_response_time_ms,p95_response_time_ms,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score,deterministic_score,score_status,missing_score_metrics
ollama,qwen3-custom:latest,ALL,100,90,10,descriptive_only_unpaired_targets,50,3,0.0444,0.4516,0.7037,,,0.7056,0.7222,0.6944,0.7,0.6963,0.6963,0.1756,0.8778,0.8778,0.8611,0.8444,0.8655,0.81,13163.5438,0.2667,1.0,1.0,1.0,,0.24,0.24,0.0,7060.321,19696.52,57.77,69.63,86.81,91.11,,72.14,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,EN,50,45,5,descriptive_only_unpaired_targets,50,3,0.0444,0.5302,0.8667,,,0.9,0.9111,0.8889,0.8889,0.8889,0.8889,0.1867,0.9333,0.9333,0.9222,0.9111,0.9251,0.86,9772.2256,0.0667,1.0,1.0,1.0,,0.06,0.06,0.0,7782.1358,20035.28,69.84,88.89,92.69,97.78,,84.32,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,ID,50,45,5,descriptive_only_unpaired_targets,50,3,0.0444,0.373,0.5407,,,0.5111,0.5333,0.5,0.5111,0.5037,0.5037,0.1644,0.8222,0.8222,0.8,0.7778,0.8058,0.76,16554.862,0.4667,1.0,1.0,1.0,,0.42,0.42,0.0,6338.5062,18648.89,45.68,50.37,80.93,84.44,,59.95,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
ollama,qwen3-custom:latest,MACRO,100,90,10,descriptive_only_unpaired_targets,50,3,0.0444,0.4516,0.7037,,,0.70555,0.7222,0.69445,0.7,0.6963,0.6963,0.17554999999999998,0.87775,0.87775,0.8611,0.84445,0.86545,0.81,13163.5438,0.2667,1.0,1.0,1.0,,0.24,0.24,0.0,7060.321,19342.085,57.77,69.63,86.81,91.11,,72.14,INCOMPLETE_MISSING_JUDGE,"answer_relevance_1_to_5, faithfulness_1_to_5, hallucination_rate"
