Model,Model Name,Scope,Total Questions,Answerable,Unanswerable,normalized_exact_match,token_f1,keyword_coverage,faithfulness_1_to_5,answer_relevance_1_to_5,context_precision,context_recall,citation_accuracy,precision_at_k,recall_at_k,hit_at_k,mrr,retrieval_debug_coverage,average_retrieval_time_ms,false_refusal_rate,unanswerable_safety_rate,unanswerable_no_citation_rate,unanswerable_no_result_rate,hallucination_rate,generation_failure_rate,average_response_time_ms,p95_response_time_ms,answer_quality_score,grounding_score,retrieval_score,safety_score,overall_score
ollama,qwen3-custom:latest,ALL,100,90,10,0.0333,0.4077,0.6667,,,0.6167,0.6333,0.6222,0.18,0.9,0.9,0.8537,0.82,5548.5414,0.3444,1.0,1.0,1.0,,0.3,12635.8454,24826.69,53.72,62.22,88.46,78.52,66.94
ollama,qwen3-custom:latest,EN,50,45,5,0.0444,0.5258,0.8741,,,0.9,0.9111,0.8889,0.2,1.0,1.0,0.9889,0.92,4994.0188,0.0889,1.0,1.0,1.0,,0.06,11215.0426,20195.07,70.0,88.89,99.63,95.04,85.35
ollama,qwen3-custom:latest,ID,50,45,5,0.0222,0.2896,0.4593,,,0.3333,0.3556,0.3556,0.16,0.8,0.8,0.7185,0.72,6103.064,0.6,1.0,1.0,1.0,,0.54,14056.6482,28883.96,37.45,35.56,77.28,62.0,48.53
ollama,qwen3-custom:latest,MACRO,100,90,10,0.0333,0.40770000000000006,0.6667,,,0.61665,0.6333500000000001,0.62225,0.18,0.9,0.9,0.8537,0.8200000000000001,5548.5414,0.34445,1.0,1.0,1.0,,0.30000000000000004,12635.8454,24539.515,53.72,62.22,88.46,78.52,66.94
